"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-12-31,"26201","WV",,"Upshur County","Buckhannon",5229,930,0.0026,-0.0122,0.0191,7332
2019-12-31,"31008","GA","Warner Robins","Peach County","Byron",5230,1190,0.0004,0.0099,0.0468,7261
2019-12-31,"92551","CA","Riverside-San Bernardino-Ontario","Riverside County","Moreno Valley",5231,1810,-0.0003,0.0072,0.0389,8497
2019-12-31,"13901","NY","Binghamton","Broome County","Chenango",5232,890,-0.0125,-0.0367,-0.0519,6387
2019-12-31,"75965","TX","Nacogdoches","Nacogdoches County","Nacogdoches",5233,1050,0.0097,0.0468,-0.0527,1791
2019-12-31,"19006","PA","Philadelphia-Camden-Wilmington","Montgomery County","Lower Moreland Township",5234,1710,0.0023,-0.0116,0.0314,7555
2019-12-31,"43231","OH","Columbus","Franklin County","Columbus",5235,1130,-0.0116,-0.0227,-0.0372,6211
2019-12-31,"75146","TX","Dallas-Fort Worth-Arlington","Dallas County","Lancaster",5236,1200,0.0072,0.0164,-0.0402,7036
2019-12-31,"36203","AL","Anniston-Oxford-Jacksonville","Calhoun County","Oxford",5237,780,-0.0104,-0.016,-0.0711,7127
2019-12-31,"34771","FL","Orlando-Kissimmee-Sanford","Osceola County","Saint Cloud",5238,1540,0.002,0.0185,0.0293,7476
2019-12-31,"48442","MI","Detroit-Warren-Dearborn","Oakland County","Holly",5239,1410,-0.0158,-0.0386,-0.0319,8435
2019-12-31,"19106","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",5240,1920,0.0075,-0.0154,0.0403,9516
2019-12-31,"11001","NY","New York-Newark-Jersey City","Nassau County","Floral Park",5241,2240,-0.0062,-0.0076,-0.0113,9252
2019-12-31,"53589","WI","Madison","Dane County","Stoughton",5242,1260,-0.0088,0.0018,-0.0131,4229
2019-12-31,"98230","WA","Bellingham","Whatcom County","Blaine",5243,1570,0.0111,0.0805,0.1076,8305
2019-12-31,"32826","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",5244,1370,0.0059,0.0167,0.0242,7196
2019-12-31,"91201","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Glendale",5245,2690,0.0084,-0.0042,0.0054,4290
2019-12-31,"24503","VA","Lynchburg","Lynchburg City","Lynchburg",5246,1100,0.0241,-0.0453,-0.0588,7878
2019-12-31,"74804","OK","Shawnee","Pottawatomie County","Shawnee",5247,920,0.0089,0.0274,0.0263,7050
2019-12-31,"44123","OH","Cleveland-Elyria","Cuyahoga County","Euclid",5248,870,0.0011,0.0327,-0.0188,7075
2019-12-31,"48033","MI","Detroit-Warren-Dearborn","Oakland County","Southfield",5249,1360,-0.0049,-0.034,-0.0051,5411
2019-12-31,"35235","AL","Birmingham-Hoover","Jefferson County","Birmingham",5250,870,0.0121,0.0024,-0.0161,7862
2019-12-31,"19061","PA","Philadelphia-Camden-Wilmington","Delaware County","Upper Chichester Township",5251,1280,-0.0001,0.0155,0.0266,7574
2019-12-31,"78102","TX","Beeville","Bee County","Beeville",5252,1260,-0.0104,0.0041,-0.003,1992
2019-12-31,"27408","NC","Greensboro-High Point","Guilford County","Greensboro",5253,1360,0.0039,0.0354,-0.0155,8276
